per Month,Portland Cement (metric tons),Blended Cement (metric tons),Total (metric tons),Total (in kg) ,Bi-Weekly Amount (kg),Daily Amount(kg),Monthly(4 Weeks)
Georgia,"53,376",234165.8333,"287,542",287542166.7,133430239.8,9530731.411,266860479.5
North Carolina,134852.5,"129,781","264,633",264633333.3,122799690.6,8771406.474,245599381.3
Tennessee,"16,449",166664,"183,113",183113000,84971229.7,6069373.55,169942459.4
Massachusetts,"58,004",15347.5,"73,351",73351333.33,34037741.69,2431267.263,68075483.36
Alabama,"5,876","135,482","141,357",141357166.7,65594972.93,4685355.209,131189945.9
Florida,"415,427",328421.6667,"743,849",743849000,345173549.9,24655253.56,690347099.7
,,,,,,,
Average between January and June,,,,,,,
Number of Days between January and June is 181 days,,,,,,,
Average number of Days between January and June is 30.17 days,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
10129100,31004900,614200,9185700,,,,
457443,14002213,277381,4148381,,,,
,,,,,,,
173619000,81928000,101291000,81928000,,,,
