City,Lat,Lon,Population
Savannah,32.0809,81.0912,148004
Atlanta,33.7488,84.3877,499127
Charlotte,35.2271,80.8431,920325
Boston,42.3601,71.0589,667120
NewYork,40.7128,74.006,8804190
Philadelphia,39.9526,75.1652,1533916
Baltimore,39.2904,76.6122,556723
DC,38.9072,77.0369,672738
Richmond,37.5407,77.4361,231782
Raleigh,35.7796,78.6382,488854
PalmBeach,26.7144,80.055,9251
Miami,25.7617,80.1918,449514
Tallahassee,30.4383,84.2807,201731
Jacksonville,30.3322,81.6557,971319
Columbus,32.461,84.9877,202616
Mobile,30.6954,88.0399,179967
